"ID","site_name","LON","LAT","start_date","end_date","elevation","slope","aspect","ERA5_NAME_POINTS"
1,"Port de la Selva",3.230390963,42.341757477,"2001",NA,154,NA,NA,"3.2E-42.3N"
2,"Montmell",3.101049753,42.34760926,"2002",NA,183,1.41453350098478,311.241473630525,"3.1E-42.3N"
3,"Tivissa",0.799231427,41.05300022,"2020",NA,555,3.95940474465333,286.979391335675,"0.8E-41.1N"
4,"Tora",1.395927928,41.81957681,"1996",NA,599,4.32727209306465,197.495451844051,"1.4E-41.8N"
5,"El Bruc",1.758607523,41.61657865,"2003",NA,715,3.02265080678254,32.5799563930056,"1.8E-41.6N"
6,"Caldes de Malavella",2.846849594,41.8161389,"1995",NA,155,0.6768860777901,357.372716352547,"2.8E-41.8N"
7,"Begues",1.923989632,41.31180806,"2001",NA,489,1.93885077082593,13.1522636001379,"1.9E-41.3N"
8,"Camarasa",0.881323103,41.91772456,"2001",NA,560,7.07657216758933,316.335924138664,"0.9E-41.9N"
9,"Badalona",2.222344972,41.47845351,"2013",NA,210,3.25357512142012,180.905088216849,"2.2E-41.5N"
10,"D04S1",5.9221454,44.03154,"19/02/1996","25/02/2023",552,7.02438742217958,137.250967907986,"5.9E-44.0N"
11,"D04S2",6.5006919,43.98233,"19/02/1996","24/02/2023",915,13.9571370963933,98.727711860916,"6.5E-44.0N"
12,"D05S1",6.161,44.484,"18/02/1997","23/02/2018",994,9.70739294316703,321.800638514107,"6.2E-44.5N"
13,"D07S1",4.4631148,44.44677,"18/02/2011","25/02/2023",318,3.9016823192218,236.840176467319,"4.5E-44.4N"
14,"D11S1",2.7979836,42.91096,"19/02/1996","27/02/2023",379,0.653906265645875,137.469240226313,"2.8E-42.9N"
15,"D11S2",2.9222708,43.12665,"19/02/1996","26/02/2023",252,0.963412067187962,68.7147982095054,"2.9E-43.1N"
16,"D13S1",5.0693197,43.69451,"19/02/1996","25/02/2023",188,4.27974571692177,146.496871531672,"5.1E-43.7N"
17,"D13S2",5.166209,43.3501,"18/02/1997","25/02/2023",150,1.32052546161877,174.010624825397,"5.3E-43.4N"
18,"D26S1",5.2238187,44.2745,"19/02/1996","24/02/2023",549,1.4396066419332,260.680661813137,"5.2E-44.3N"
19,"D30S1",4.0197183,44.22891,"19/02/1996","25/02/2023",306,6.78073837847239,230.544198939942,"4.0E-44.2N"
20,"D30S2",4.4234434,43.88534,"19/02/1996","26/02/2023",149,2.33825857878754,152.502126852689,"4.4E-43.9N"
21,"D34S2",3.7161627,43.57843,"18/02/1999","26/02/2023",109,0.661402408027251,177.233782243313,"3.7E-43.6N"
22,"D34S1",3.204,43.613,"20/02/1997","25/02/2016",371,2.08547126049209,278.138254538696,"3.2E-43.6N"
23,"D48S1",3.9465895,44.4311,"18/02/1997","25/02/2023",746,6.18959701741628,192.336508762457,"3.9E-44.4N"
24,"D66S1",2.8717506,42.5151,"18/02/1999","25/02/2023",236,10.1498404220782,347.218299133534,"2.9E-42.5N"
25,"D66S2",2.4785859,42.64442,"19/02/1996","25/02/2023",405,7.53643530353965,144.502488742493,"2.5E-42.6N"
26,"D83S1",5.8019881,43.24123,"19/02/1996","26/02/2023",379,5.33026947912672,203.44325769081,"5.8E-43.2N"
27,"D83S2",6.4833823,43.47728,"19/02/1996","25/02/2023",196,0.98071743780003,242.637236455284,"6.5E-43.5N"
28,"D83S3",5.9993954,43.42409,"18/02/1997","25/02/2023",293,5.07568589951951,184.18569985127,"6.0E-43.4N"
29,"D84S1",5.1408083,43.90313,"19/02/1996","25/02/2023",321,3.4979250261052,223.657405812577,"5.1E-43.9N"
30,"D84S2",5.6185447,43.74,"19/02/1996","25/02/2023",520,3.26986543077073,185.798614257954,"5.6E-43.7N"
31,"D06S1",7.3432102,43.83431,"19/02/1996","25/02/2023",434,2.63558898704482,124.664157511025,"7.3E-43.8N"
32,"D06S2",6.9015018,43.53867,"19/02/1996","25/02/2023",31,3.43922121575485,180.530795823044,"6.9E-43.5N"
33,"D06S3",6.944,43.619,"17/02/1997","26/02/2022",124,1.98889664481465,133.743176821261,"6.9E-43.6N"
34,"D2AS1",8.7067068,41.92633,"19/02/1996","27/02/2023",100,1.69423964331122,82.0917194751682,"8.8E-42.0N"
35,"D2AS2",9.0079977,41.73401,"19/02/2000","25/02/2023",688,10.7394957785132,161.256890749253,"9.0E-41.7N"
36,"D2AS3",9.326248,41.65313,"18/02/2012","26/02/2023",29,2.53030812561581,202.0179524177,"9.3E-41.7N"
37,"D2BS2",9.1769985,42.33902,"19/02/2000","27/02/2023",542,4.66936074321542,227.340436720638,"9.2E-42.3N"
38,"D2BS3",8.8489981,42.44402,"18/02/1997","26/02/2023",465,5.46198407154261,327.730482058312,"8.8E-42.4N"
39,"D2BS1",9.421,42.6,"19/02/2000","25/02/2009",149,7.24106919225283,72.2205937894944,"9.4E-42.6N"
40,"D07S2",4.102,44.342,"11/07/1996","06/09/2010",231,3.55174965978098,260.05757917683,"4.1E-44.3N"
