ID,site_name,x,y,NPIX_ERA,climPts
1,Port de la Selva,3.230390963,42.34175748,294790,3.2E-42.3N
2,Montmell,3.101049753,42.34760926,294789-294028,3.1E-42.3N
3,Tivissa,0.799231427,41.05300022,304659-303898,0.8E-41.1N
4,Tora,1.395927928,41.81957681,298577,1.4E-41.8N
5,El Bruc,1.758607523,41.61657865,300103,1.8E-41.6N
6,Caldes de Malavella,2.846849594,41.8161389,298591-298592,2.8E-41.8N
7,Begues,1.923989632,41.31180806,302387,1.9E-41.3N
8,Camarasa,0.881323103,41.91772456,297811,0.9E-41.9N
9,Badalona,2.222344972,41.47845351,300868,2.2E-41.5N
10,D04S1,5.9221454,44.03154,281880,5.9E-44.0N
11,D04S2,6.5006919,43.98233,281886,6.5E-44.0N
12,D05S1,6.161,44.484,278078,6.2E-44.5N
13,D07S1,4.4631148,44.44677,278822-278061,4.5E-44.4N
14,D11S1,2.7979836,42.91096,290220,2.8E-42.9N
15,D11S2,2.9222708,43.12665,288699,2.9E-43.1N
16,D13S1,5.0693197,43.69451,284155,5.1E-43.7N
17,D13S2,5.166209,43.3501,287200-286439,5.3E-43.4N
18,D26S1,5.2238187,44.2745,279590,5.2E-44.3N
19,D30S1,4.0197183,44.22891,280339,4.0E-44.2N
20,D30S2,4.4234434,43.88534,282626,4.4E-43.9N
21,D34S2,3.7161627,43.57843,284902,3.7E-43.6N
22,D34S1,3.204,43.613,284897,3.2E-43.6N
23,D48S1,3.9465895,44.4311,278816-278817,3.9E-44.4N
24,D66S1,2.8717506,42.5151,293265,2.9E-42.5N
25,D66S2,2.4785859,42.64442,292500,2.5E-42.6N
26,D83S1,5.8019881,43.24123,287967,5.8E-43.2N
27,D83S2,6.4833823,43.47728,285691,6.5E-43.5N
28,D83S3,5.9993954,43.42409,286447,6.0E-43.4N
29,D84S1,5.1408083,43.90313,282633,5.1E-43.9N
30,D84S2,5.6185447,43.74,284160,5.6E-43.7N
31,D06S1,7.3432102,43.83431,283416,7.3E-43.8N
32,D06S2,6.9015018,43.53867,285695,6.9E-43.5N
33,D06S3,6.944,43.619,284934,6.9E-43.6N
34,D2AS1,8.7067068,41.92633,297889,8.8E-42.0N
35,D2AS2,9.0079977,41.73401,299414,9.0E-41.7N
36,D2AS3,9.326248,41.65313,300178-299417,9.3E-41.7N
37,D2BS2,9.1769985,42.33902,294850,9.2E-42.3N
38,D2BS3,8.8489981,42.44402,294085-294086,8.8E-42.4N
39,D2BS1,9.421,42.6,292569,9.4E-42.6N
40,D07S2,4.102,44.342,279579,4.1E-44.3N
